file	sites	kind	exercised_by	owner	status
scripts/dst/long_qwen_compaction_dst.ail	8	helper signature;literal;reference;type annotation	compaction_dst; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/park_resume_dst.ail	7	helper signature;reference	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; park_resume (via scripts/dst/run_park_resume.sh); profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/park_wake_dst.ail	7	helper signature;reference	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; park_wake (via scripts/dst/run_park_wake.sh); profile_definition (via tools/profile_definition/check_fixtures.py)	P1.5r	ABI pin sweep file (7.4 → 8.0); also: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/phase_c2_wiring_scenarios.ail	16	helper signature;reference	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; phase_c_l1; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/profile_definition_dst.ail	1	comment	anchors (via tools/predicate-anchors/anchors.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; eval_matrix (via scripts/eval/journal_replay.sh); profile_definition	P1.5r	ABI pin sweep file (7.4 → 8.0); sites: comment
scripts/dst/registry_multiplicity_dst.ail	14	comment;helper signature;import;literal;reference	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py); registry_multiplicity	UNOWNED	8.0 breakage: 3 ExtEntry literal(s) without config; callbacks typed ExtCtx (views at 8.0); 2-argument normalize_registration; ToolProvider row without Trace
scripts/dst/run_declared_vs_performed.sh	47	text	declared_vs_performed; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	P1.5r	the two ABI text probes (:124 BudgetShaper((ExtCtx…, :707 Compactor((ExtCtx…) per the P0G ruling; the other mentions are LIM/row probe sources the section runner writes
scripts/dst/run_depth_canary.sh	1	text	depth_canary; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	sites: text
scripts/dst/runtime_status_tool_dst.ail	9	helper signature;reference	compaction_dst; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/scripted_cursor_probe.ail	12	helper signature;reference	compaction_dst; driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py)	UNOWNED	8.0 breakage: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/seeded_generator_dst.ail	8	helper signature;reference	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py); seeded_generator	P1.5r	ABI pin sweep file (7.4 → 8.0); also: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/strict_replay_dst.ail	8	helper signature;reference	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py); strict_replay	P1.5r	ABI pin sweep file (7.4 → 8.0); also: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/world_state_poison.ail	8	helper signature;reference	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py); world_state	UNOWNED	8.0 breakage: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/dst/world_state_probe.ail	16	helper signature;reference	driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; profile_definition (via tools/profile_definition/check_fixtures.py); world_state	UNOWNED	8.0 breakage: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/smoke_v2_compaction_chain.ail	10	helper signature;literal;reference	dst; smoke_driver; smoke_parity (via scripts/dst/phase_a_event_parity.sh)	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/smoke_v2_compaction_full_loop.ail	1	import	dst; smoke_driver; smoke_parity (via scripts/dst/phase_a_event_parity.sh)	UNOWNED	8.0 breakage: 1 ExtEntry literal(s) without config
scripts/smoke_v2_handle.ail	10	comment;helper signature;import;literal	dst; smoke_parity (via scripts/dst/phase_a_event_parity.sh)	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/smoke_v2_pending.ail	14	helper signature;literal;reference	none	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/smoke_v2_pending_full_loop.ail	10	helper signature;reference	dst; smoke_driver; smoke_parity (via scripts/dst/phase_a_event_parity.sh)	UNOWNED	8.0 breakage: callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/smoke_v2_policy_denial.ail	10	comment;helper signature;import;literal	none	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); callbacks typed ExtCtx (views at 8.0); fixture_hooks literal without config; ToolProvider row without Trace
scripts/verify_delegate_kind_required.ail	2	literal;reference	verify_delegate_kind	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state)
scripts/verify_exit_intent.ail	4	literal;reference	verify_exit_intent	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); 1 ExtEntry literal(s) without config
scripts/verify_extension_boot.ail	4	comment;registration reference	verify_extensions	UNOWNED	sites: comment;registration reference
scripts/verify_herdr_delegate_wait.ail	2	literal;reference	verify_herdr_delegate_wait	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state)
scripts/verify_herdr_gate.ail	3	comment;helper signature;import	verify_herdr_gate	UNOWNED	sites: comment;helper signature;import
scripts/verify_herdr_orchestrator.ail	7	helper signature;literal;reference	verify_herdr_orchestrator	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); 2 ExtEntry literal(s) without config; callbacks typed ExtCtx (views at 8.0)
scripts/verify_mot131_early_answer.ail	2	literal;reference	verify_herdr_check_answer	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state)
scripts/verify_mot133_owner_tag.ail	2	literal;reference	verify_herdr_owner_tag	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state)
scripts/verify_mot136_dagr_producer.ail	2	literal;reference	verify_dagr_producer	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); fixture_hooks literal without config
scripts/verify_mot137_dagr_pane.ail	2	literal;reference	verify_herdr_dagr_pane	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state)
scripts/verify_repetition_guard.ail	2	literal;reference	verify_repetition_guard	UNOWNED	8.0 breakage: 1 ExtCtx literal(s) (need verification/tool_evidence/decision_state); Accept(x) (nullary at 8.0)
src/core/AGENT.md	1	document	deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py)	P1.1	prose only (comment names the type); no change needed
src/core/dst_driver_only.ail	2	reference;registration reference	anchors (via tools/predicate-anchors/anchors.sh); check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only; driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.5r	ABI pin sweep file (7.4 → 8.0); sites: reference;registration reference
src/core/dst_driver_plus_compose.ail	4	comment;reference;registration reference	anchors (via tools/predicate-anchors/anchors.sh); check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose; driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.5r	ABI pin sweep file (7.4 → 8.0); sites: comment;reference;registration reference
src/core/dst_driver_plus_herdr.ail	3	comment;reference;registration reference	anchors (via tools/predicate-anchors/anchors.sh); check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_herdr; driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	sites: comment;reference;registration reference
src/core/dst_driver_plus_no_ops.ail	2	reference;registration reference	anchors (via tools/predicate-anchors/anchors.sh); check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops; dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.5r	ABI pin sweep file (7.4 → 8.0); sites: reference;registration reference
src/core/dst_hook_guard.ail	3	reference;type annotation	check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	done: row +Trace (calls dispatch_tool_handle)
src/core/dst_program.ail	1	comment	check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; execution_program; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	prose only (comment names the type); no change needed
src/core/ext/ctx_defaults.ail	1	comment	check_core (glob src/core/*.ail); dst; verify_core (glob src/core/*.ail); verify_ext (find src/core/ext); world_state (glob src/core/*.ail)	P1.1	done: empty_tool_evidence() for the host's ExtCtx literals
src/core/ext/exit_manifest.ail	2	helper signature;reference	check_core (glob src/core/*.ail); discovery; dst; verify_core (glob src/core/*.ail); verify_ext (find src/core/ext); world_state (glob src/core/*.ail)	P1.1	no change needed: takes the host's ExtCtx, calls dispatch_exit_intents; checks and tests green in the workspace
src/core/ext/registry_generated.ail	22	comment;helper signature;import	check_core (glob src/core/*.ail); declared_vs_performed (via scripts/dst/run_declared_vs_performed.sh); dst; registry_gen (via tools/ext_registry_gen/generate.py); registry_gen_check (via tools/ext_registry_gen/generate.py); verify_core (glob src/core/*.ail); verify_ext (find src/core/ext); world_state (glob src/core/*.ail)	P1.1	done: regenerated by make registry_gen (P0.5 template); registry_gen_check green
src/core/ext/registry_normalize.ail	16	comment;helper signature;literal;reference;type annotation	check_core (glob src/core/*.ail); dst; registry_gen (via tools/ext_registry_gen/generate.py); registry_gen_check (via tools/ext_registry_gen/generate.py); registry_multiplicity; verify_core (glob src/core/*.ail); verify_ext (find src/core/ext); world_state (glob src/core/*.ail)	P1.1	done: normalize_registration(id, config, caps), vote families, config digest over config + data positions (canonical JSON), payloads on views
src/core/ext/runtime.ail	62	comment;helper signature;literal;reference	anchors (via tools/predicate-anchors/anchors.sh); check_core (glob src/core/*.ail); driver_leaf_inventory (via tools/driver_leaf_inventory/derive.py); driver_leaf_inventory_selftest (via tools/driver_leaf_inventory/derive.py); dst; test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); verify_ext (find src/core/ext); world_state (glob src/core/*.ail)	P1.1	done: dispatchers project views per entry through the ABI constructors, ext_config stamped, ToolProvider row +Trace, Accept nullary, kind enumeration +2, stamping/precedence/digest tests
src/core/journal.ail	1	comment	check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	prose only (comment names the type); no change needed
src/core/phase_vocab.ail	2	comment	check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; eval_protected_selftest (via tools/eval_protected/selftest.py); event_vocabulary; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); terminal_trace; test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	prose only (comment names the type); no change needed
src/core/ports.ail	1	comment	check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_leaf_inventory (via tools/driver_leaf_inventory/derive.py); driver_leaf_inventory_selftest (via tools/driver_leaf_inventory/derive.py); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; eval_protected_selftest (via tools/eval_protected/selftest.py); ext_call_inventory (via tools/ext_call_inventory/derive.py); ext_call_inventory_selftest (via tools/ext_call_inventory/derive.py); live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); program_persistence; run (via scripts/run-agent.sh); strict_replay; test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	prose only (comment names the type); no change needed
src/core/session.ail	12	comment;import;literal;type annotation	anchors (via tools/predicate-anchors/anchors.sh); check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); discovery; driver_leaf_inventory (via tools/driver_leaf_inventory/derive.py); driver_leaf_inventory_selftest (via tools/driver_leaf_inventory/derive.py); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; eval_protected_selftest (via tools/eval_protected/selftest.py); ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_call_inventory (via tools/ext_call_inventory/derive.py); ext_call_inventory_selftest (via tools/ext_call_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py); live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); terminal_trace; test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); verify_mutations (via scripts/verify_contract_mutations.sh); world_state (glob src/core/*.ail)	P1.1	done (re-signature only, line-neutral): the two ExtCtx literals gain the three D3 fields with truthful defaults (P1.4r owns their fixtures and the decision-site Some); Accept nullary; ToolFailed imported by name (ctor collision, see README)
src/core/test/ext_fixture.ail	4	comment;reference	check_core (glob src/core/*.ail); dst; eval_protected_selftest (via tools/eval_protected/selftest.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	done: FixtureOverrides on the views, config field, describe takes Json; fixture_hooks stamps config
src/core/tool_catalog.ail	3	helper signature;import	check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	done: DescribeTools receives e.config; configured-vs-empty catalog test
src/core/tool_envelope_dispatch.ail	2	helper signature;reference	check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	done: row +Trace (calls dispatch_tool_handle)
src/core/tool_phase.ail	5	helper signature;import;type annotation	anchors (via tools/predicate-anchors/anchors.sh); check_core (glob src/core/*.ail); deepseekv4_flash_compaction_heavy_headless (via scripts/run-agent.sh); discovery; driver_leaf_inventory (via tools/driver_leaf_inventory/derive.py); driver_leaf_inventory_selftest (via tools/driver_leaf_inventory/derive.py); driver_only (via tools/profile_definition/check_fixtures.py); driver_plus_compose (via tools/profile_definition/check_compose_profile.py); driver_plus_no_ops (via tools/profile_definition/check_no_op_profile.py); dst; live_hunyuan3_free_compaction_heavy_headless (via scripts/run-agent.sh); live_qwen36_compaction_calibration (via scripts/run-agent.sh); live_qwen36_compaction_heavy (via scripts/run-agent.sh); live_qwen36_compaction_heavy_headless (via scripts/run-agent.sh); motoko (via scripts/run-agent.sh); new_contract_policy (via tools/verify_classify/new_contract_policy.py); profile_definition (via tools/profile_definition/check_fixtures.py); run (via scripts/run-agent.sh); test_coverage (via tools/test_coverage/derive.py); test_coverage_selftest (via tools/test_coverage/derive.py); verify_core (glob src/core/*.ail); world_state (glob src/core/*.ail)	P1.1	no change needed: threads the host's ExtCtx to the dispatchers; rows already carry Trace; checks clean in the workspace
src/tui/src/herdr-child-env.test.ts	1	text	none	UNOWNED	sites: text
src/tui/src/runtime-process.ts	1	text	none	UNOWNED	sites: text
tools/eval_protected/manifest-A.json	2	data	none	UNOWNED	sites: data
tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_empty.ail	1	fixture;registration	dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	sites: fixture;registration
tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_inline.ail	4	fixture;helper signature;import;registration	dst; ext_ambient_inventory (via tools/ext_ambient_inventory/derive.py); ext_ambient_inventory_selftest (via tools/ext_ambient_inventory/derive.py); ext_hook_scope (via tools/ext_ambient_inventory/derive.py); ext_hook_scope_selftest (via tools/ext_ambient_inventory/derive.py)	UNOWNED	8.0 breakage: callbacks typed ExtCtx (views at 8.0)
